AuthenticProd_id,Brand,Product_Name,Gender,Color,Size,Absorb,other,Count,Pack,Count_pack,EAN,Image,Max_price,Min_price,Product_Name_full,Slug,UPC,MasterProduct_id,AuthenticProd_id,Family_ID,Amazon,Amazon Canada,Amazon Prime Pantry,Bed Bath And Beyond,Bjs,Boxed,CVS,Costco,Costco Canada,Dollar General,HEB,Instacart,Kroger,Rakuten,Sam's Club,Target,Walgreens,Walmart,Walmart Canada
155731,depend,silhouette active fit briefs,women,BEIGE,L/XL,MODERATE,56 ct,56,1,56 ct,3600042590,https://s3-us-west-2.amazonaws.com/smartcommerce.co/images_pms/65/11640265.jpg,94.25,0.00,Depend Silhouette Active Fit Briefs for Women Beige L/XL 56 ct,depend-silhouette-active-fit-briefs-for-women-beige-l-xl-56-ct,036000425901,11640265,155731,39809,62.99,94.25,,,64.99,,67.99,,,,,,,,,62.99,67.99,62.99,
155735,depend,silhouette briefs,women,BLACK,L/XL,MAXIMUM,52 ct,52,1,52 ct,36000359411,https://s3-us-west-2.amazonaws.com/smartcommerce.co/images_pms/89/11642189.jpg,59.99,0.00,Depend Silhouette Briefs for Women Black L/XL 52 ct,depend-silhouette-briefs-for-women-black-l-xl-52-ct,03600035941,11642189,155735,20835,55.12,,55.12,,50.99,,59.99,,,,,,,,,,,55.12,
155736,depend,silhouette briefs,women,LAVENDER,L/XL,MAXIMUM,52 ct,52,1,52 ct,36000465792,https://s3-us-west-2.amazonaws.com/smartcommerce.co/images_pms/90/11642190.jpg,75.58,0.00,Depend Silhouette Briefs for Women Lavender L/XL 52 ct,depend-silhouette-briefs-for-women-lavender-l-xl-52-ct,036000359411,11642190,155736,20835,57.97,75.58,,,50.99,,59.99,,,,,,,,,,58.99,57.97,
157151,depend,fit-flex underwear,women,BEIGE,L,MAXIMUM,17 ct 4 pack,17,4,17 ct 4 Pack,0794628277615,https://s3-us-west-2.amazonaws.com/smartcommerce.co/images_pms/27/11642327.jpg,42.76,42.76,Depend Fit-Flex Underwear for Women Maximum Beige L 17 ct 4 Pack,depend-fit-flex-depend-fit-flex-incontinence-underwear-for-women-maximum-absorbency-l-packaging-may-vary-17-count-pack-of-4,028005277326,11642327,157151,17633,47.96,64.95,,,,,,,,,,,,,,,,,
143,depend,guards,men,,One size fits all,MAXIMUM,104 ct,104,1,104 ct,36000469639,https://s3-us-west-2.amazonaws.com/smartcommerce.co/images_pms/80/11655080.jpg,43.29,0.00,Depend Guards for Men 104 ct,depend-guards-for-men-104-ct,03600046963,11655080,143,2910,43.29,,,,27.99,,,19.99,,,,,,,23.88,26.99,26.99,24.56,
155741,depend,real fit briefs,men,BLACK,L/XL,MAXIMUM,52 ct,52,1,52 ct,36000465808,https://s3-us-west-2.amazonaws.com/smartcommerce.co/images_pms/15/11663515.jpg,74.49,0.00,Depend Real Fit Briefs for Men Black L/XL 52 ct,depend-real-fit-briefs-for-men-black-l-xl-52-ct,036000465808,11663515,155741,20834,54.53,74.49,,,54.99,,59.99,,,,,,,,,54.99,,54.53,
155742,depend,real fit briefs,men,BLUE,L/XL,MAXIMUM,52 ct,52,1,52 ct,36000359459,https://s3-us-west-2.amazonaws.com/smartcommerce.co/images_pms/16/11663516.jpg,59.99,0.00,Depend Real Fit Briefs for Men Blue L/XL 52 ct,depend-real-fit-briefs-for-men-blue-l-xl-52-ct,03600035945,11663516,155742,20834,53.99,,,,50.99,,59.99,,,,,,,,,53.99,58.99,53.99,
157152,depend,fit-flex underwear,women,BEIGE,S,MAXIMUM,60 ct,60,1,60 ct,0036000479225,https://s3-us-west-2.amazonaws.com/smartcommerce.co/images_pms/94/12737794.jpg,44.77,0.00,Depend Fit-Flex Underwear for Women Maximum Beige S 60 ct,depend-fit-flex-underwear-for-women-maximum-beige-s-60-ct,0000360004792,12737794,157152,17633,39.97,44.77,,,,,,,,,,,,,,39.99,39.99,,
146,depend,fit-flex underwear,men,GREY,L,MAXIMUM,84 ct,84,1,84 ct,,https://s3-us-west-2.amazonaws.com/smartcommerce.co/images_pms/22/12771422.jpg,42.99,0.00,Depend Fit-Flex Underwear for Men Grey L 84 ct,depend-fit-flex-underwear-for-men-grey-l-84-ct,36000484595,12771422,146,17633,,,,,42.99,,,42.99,54.99,,,,,,42.98,,,,
160393,depend,night defense underwear,women,BEIGE,M,MAXIMUM,15 ct,15,1,15 ct,3600047918,https://s3-us-west-2.amazonaws.com/smartcommerce.co/images_pms/75/12811275.jpg,19.99,0.00,Depend Night Defense Underwear for Women Beige M 15 ct,depend-night-defense-underwear-for-women-beige-m-15-ct,036000479188,12811275,160393,39808,,19.99,11.99,,,,13.49,,,,,,,,,11.99,14.99,11.97,
160392,depend,night defense underwear,women,BEIGE,S,MAXIMUM,16 ct,16,1,16 ct,36000479171,https://s3-us-west-2.amazonaws.com/smartcommerce.co/images_pms/76/12811276.jpg,14.99,0.00,Depend Night Defense Underwear for Women Beige S 16 ct,depend-night-defense-underwear-for-women-beige-s-16-ct,036000479171,12811276,160392,39808,,13.98,13.49,,,,13.49,,,,,,,,,14.99,14.99,,
3963,depend,fit-flex underwear,men,GREY,S/M,MAXIMUM,46 ct,46,1,46 ct,0036000484434,https://s3-us-west-2.amazonaws.com/smartcommerce.co/images_pms/51/12815251.png,24.99,0.00,Depend Fit-Flex Underwear for Men Grey S/M 46 ct,depend-fit-flex-underwear-for-men-grey-s-m-46-ct,,12815251,3963,17633,24.87,34.77,,,,,,,,,,,,,,,,,
160393,depend,night defense underwear,women,BEIGE,M,MAXIMUM,32 ct,32,1,32 ct,,https://s3-us-west-2.amazonaws.com/smartcommerce.co/images_pms/29/12913029.jpg,33.79,20.99,Depend Night Defense Underwear for Women Beige M 32 ct,depend-night-defense-underwear-for-women-beige-m-32-ct,036000480085,12913029,160393,39808,,33.79,,,20.99,,,20.99,,,,,,,,25.99,24.99,,
146,depend,fit-flex underwear,men,GREY,L,MAXIMUM,28 ct,28,1,28 ct,,https://s3-us-west-2.amazonaws.com/smartcommerce.co/images_pms/90/12946390.jpg,29.99,17.79,Depend Fit-Flex Underwear for Men Grey L 28 ct,depend-fit-flex-underwear-for-men-grey-l-28-ct,036000479270,12946390,146,17633,,29.99,,,,,,,,,,,,,,18.99,,,
159935,depend,fit-flex underwear,women,BEIGE,M,MAXIMUM,88 ct,88,1,88 ct,,https://s3-us-west-2.amazonaws.com/smartcommerce.co/images_pms/98/13182998.jpg,54.99,42.98,Depend Fit-Flex Underwear for Women Maximum Beige M 88 ct,depend-fit-flex-underwear-for-women-maximum-beige-m-88-ct,36000484519,13182998,159935,17633,,,,,42.99,49.99,,42.99,54.99,,,,,,42.98,,,,
159878,depend,fit-flex underwear,men,GREY,XL,MAXIMUM,48 ct,48,1,48 ct,,https://s3-us-west-2.amazonaws.com/smartcommerce.co/images_pms/06/13240406.jpg,51.59,34.46,Depend Fit-Flex Underwear for Men Grey XL 48 ct,depend-fit-flex-underwear-for-men-grey-xl-48-ct,36000479348,13240406,159878,17633,34.49,51.59,,,,,,,,,,,,,,34.49,39.99,,
146,depend,fit-flex underwear,men,GREY,L,MAXIMUM,42 ct,42,1,42 ct,,https://s3-us-west-2.amazonaws.com/smartcommerce.co/images_pms/27/13240427.jpg,26.99,0.00,Depend Fit-Flex Underwear for Men Grey L 42 ct,depend-fit-flex-underwear-for-men-grey-l-42-ct,036000484588,13240427,146,17633,,,24.87,,,,,,,,,,,,,24.99,25.99,24.87,
160392,depend,night defense underwear,women,BEIGE,S,MAXIMUM,34 ct,34,1,34 ct,0036000480078,https://s3-us-west-2.amazonaws.com/smartcommerce.co/images_pms/06/13245506.jpg,33.52,20.49,Depend Night Defense Underwear for Women Beige S 34 ct,depend-night-defense-underwear-for-women-beige-s-34-ct,03600048007,13245506,160392,39808,,33.52,,,20.99,,,20.99,,,,,,,,24.99,24.99,,
